Date,Level,Message
2026-05-08T13:19:02.130Z,success,■ recruiter-prospector DONE | 0 sent / 121 checked
2026-05-08T13:19:02.127Z,info,↷ https://www.linkedin.com/in/shruti-verma-866aa676/ — no connect button (viewed)
2026-05-08T13:19:02.121Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:18:45.126Z,info,↷ https://www.linkedin.com/in/ajit-s-708a71231/ — no connect button (viewed)
2026-05-08T13:18:45.120Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:18:28.128Z,info,↷ https://www.linkedin.com/in/ajit-s-708a71231/ — no connect button (viewed)
2026-05-08T13:18:28.122Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:18:12.125Z,info,↷ https://www.linkedin.com/in/ajit-s-708a71231/ — no connect button (viewed)
2026-05-08T13:18:12.119Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:17:55.126Z,info,↷ https://www.linkedin.com/in/harleen-kaur-uppal-197276333/ — no connect button (viewed)
2026-05-08T13:17:55.120Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:17:40.117Z,info,↷ https://www.linkedin.com/in/anusha-d-150bb028a/ — no connect button (viewed)
2026-05-08T13:17:40.111Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:17:24.128Z,info,↷ https://www.linkedin.com/in/michaelreynolds5/ — no connect button (viewed)
2026-05-08T13:17:24.123Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:17:08.133Z,info,↷ https://www.linkedin.com/in/apparao-puli-592b5a252/ — no connect button (viewed)
2026-05-08T13:17:08.125Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:16:51.130Z,info,↷ https://www.linkedin.com/in/jason-love-618057174/ — no connect button (viewed)
2026-05-08T13:16:51.124Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:16:38.120Z,info,↷ https://www.linkedin.com/in/shivam-pandey-b967221a1/ — no connect button (viewed)
2026-05-08T13:16:38.111Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:16:23.124Z,info,↷ https://www.linkedin.com/in/monika-dahat-639a41228/ — no connect button (viewed)
2026-05-08T13:16:23.118Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:16:07.117Z,info,↷ https://www.linkedin.com/in/revathi-yalagala-889ab0247/ — no connect button (viewed)
2026-05-08T13:16:07.113Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:15:49.125Z,info,page 10/10 — 12 cards found
2026-05-08T13:15:44.128Z,info,▶ page 10 — waiting for SPA render...
2026-05-08T13:15:39.124Z,info,↷ https://www.linkedin.com/in/aarthi-sharma-2350b7231/ — no connect button (viewed)
2026-05-08T13:15:39.119Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:15:21.122Z,info,↷ https://www.linkedin.com/in/gowthami-shekar-85a322268/ — no connect button (viewed)
2026-05-08T13:15:21.116Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:15:04.124Z,info,↷ https://www.linkedin.com/in/taylor-b-19122195/ — no connect button (viewed)
2026-05-08T13:15:04.117Z,warn,[Diag] no connect btn found | card buttons: none
2026-05-08T13:14:48.119Z,info,↷ https://www.linkedin.com/in/joseph-adam-64032221a/ — no connect button (viewed)
